ci1	ci2	or_mean	or_se	lor_mean	lor_se
0.3040505887162649	0.64513620146269	0.47459339508947745	0.08527140318660628	-0.8144275002949135	0.18806684043739016
0.47893928491870214	0.7521278015350878	0.615533543226895	0.06829712915409643	-0.5105152320252258	0.1128331057015548
0.31814917856860864	0.6067580238830781	0.46245360122584334	0.07215221132861736	-0.8224300506524389	0.16140242027696794
0.21812503509615178	0.5400572140755621	0.3790911245858569	0.08048304474485257	-1.0693835090853732	0.22665165802041098
0.3129702858680275	0.6870297141319726	0.5	0.09351485706598626	-0.7685123809804737	0.19656732264847476
0.31887496423416395	0.681125035765836	0.5	0.09056251788291803	-0.7634827991258292	0.18973670777844892
0.31561528386409865	0.5955017082732814	0.45555849606869003	0.06997160610229569	-0.8357911423886215	0.1587200604173186
0.3581834362605036	0.6901926983917919	0.5241880673261478	0.08300231553282207	-0.6987472396844361	0.16398139616786622
0.39826746167215293	0.5341789870590326	0.4662232243655927	0.033977881346719904	-0.7738278997854182	0.07340179268055372
0.27042903126886286	0.5910994195730366	0.4307642254209497	0.08016759707604343	-0.916758314756259	0.19549363083009605
0.3504735971188095	0.5477955176398557	0.4491345573793326	0.04933048013026155	-0.825161554598703	0.11165417496822383
0.43732079434679527	0.6013685514788637	0.5193446729128295	0.04101193928301711	-0.6678177860010754	0.07963524200964586
0.4368410284980165	0.5594828942787926	0.4981619613884045	0.030660466445194032	-0.7044641270883826	0.061860901081301045
0.3151197066349858	0.638719864735938	0.4769197856854619	0.08090003952523805	-0.801546004177766	0.17662834355250345
0.40961127076287007	0.7227932522003723	0.5662022614816211	0.07829549535937555	-0.6085893725354025	0.14197865829454775
0.3659571396709642	0.6524720370048855	0.5092145883379249	0.07162872433348033	-0.7161130265153648	0.14456301532342053
0.37427345060922085	0.7453924500967369	0.5598329503529789	0.09277974987187902	-0.6383065090077003	0.17223104417964652
0.4530902754892443	0.67759826155858	0.5653442685239122	0.05612699651733394	-0.5904322954734145	0.10061579711965987
0.3238584775848958	0.5529522623931634	0.43840536998902957	0.05727344620206691	-0.8599661310817319	0.13374126255470398
0.46806896371973145	0.8142809082834339	0.6411749360015827	0.08655298614092562	-0.48229475594273236	0.13842243980122118
0.4321317113407396	0.7238725761355362	0.578002143738138	0.07293521619869917	-0.5810823758714556	0.1289712369862276
0.3079634436047323	0.6645555216114442	0.48625948260808827	0.08914801950167796	-0.7932055214997348	0.1922843355740101
0.40849889175737797	0.6693559041406814	0.5389273979490297	0.06521425309582585	-0.6483527218617268	0.12345667789013393
0.44045523327963243	0.6808500584737431	0.5606526458766878	0.06009870629852768	-0.6021798206796939	0.10888332257579096
0.44045523327963243	0.6808500584737431	0.5606526458766878	0.06009870629852768	-0.6021798206796939	0.10888332257579096
0.44100983476945826	0.6634412390850981	0.5522255369272782	0.05560785107890996	-0.6145015469466008	0.10209327788641208
0.47184834042520435	0.6964754070624058	0.5841618737438051	0.056156766659300375	-0.5564102266936246	0.09734371549669747
0.3306059730517574	0.6984543492876587	0.5145301611697081	0.09196209405897533	-0.7328567421113165	0.18698564216995878
0.3337890061130966	0.6662109938869034	0.5	0.0831054969434517	-0.7516975274122133	0.1727743382177576
0.39075922249209255	0.7545240492613483	0.5726416358767205	0.09094120669231394	-0.610665917389496	0.16449889527123512
0.3242692700213209	0.6757307299786791	0.5	0.08786536498933956	-0.759070819380017	0.1835551043265467
0.351292837051412	0.7022133335818037	0.5267530853166078	0.08773012413259793	-0.6998265684417679	0.1731542706550947
0.3306059730517574	0.6984543492876587	0.5145301611697081	0.09196209405897533	-0.7328567421113165	0.18698564216995878
0.39208068615035424	0.5454434663332404	0.46876207624179733	0.03834069504572153	-0.7712218719274809	0.08253287821424343
0.442416395905722	0.5987427714548754	0.5205795836802987	0.03908159388728835	-0.6642134856238291	0.07564514128360975
0.3150138883285455	0.47844149616914866	0.3967276922488471	0.04085690196015079	-0.9461799459099531	0.10447930264329644
